id,customer_id,account_number,account_type,currency,balance,status,opened_at
1,1,SE9383935761296,checking,SEK,6444.5,active,2025-03-31T07:16:30
2,1,SE3142667830531,savings,SEK,24796.87,active,2026-04-01T19:38:16
3,1,SE3537728798662,savings,SEK,20970.33,active,2025-01-17T12:09:08
4,1,SE9297860848952,savings,SEK,24138.97,active,2024-03-23T12:00:35
5,2,US4543352818211,checking,USD,1755.57,active,2026-03-13T12:45:44
6,2,US7795774139162,savings,USD,39291.72,active,2025-02-25T19:04:19
7,2,US5973590997212,savings,USD,14270.52,active,2025-04-21T04:01:46
8,3,GB5951542654358,savings,GBP,12076.42,active,2025-07-21T10:03:59
9,3,GB8840094267636,checking,GBP,3364.28,active,2026-03-22T00:20:08
10,4,US1997970980353,checking,USD,1355.3,active,2025-12-22T22:50:56
11,4,US6598904715824,credit,USD,-2880.45,frozen,2025-07-20T23:25:26
12,4,US4961612633341,savings,USD,29878.65,frozen,2025-03-21T23:10:55
13,5,DE1791437255682,checking,EUR,6431.79,active,2026-04-18T11:08:58
14,6,PL5946613451208,checking,PLN,5575.76,active,2025-10-05T19:57:18
15,6,PL5159251344259,savings,PLN,36238.66,active,2025-09-05T06:28:34
16,7,NL2334908688349,checking,EUR,1654.04,closed,2022-12-30T19:52:33
17,7,NL5147506369085,savings,EUR,13544.67,active,2023-09-18T16:12:12
18,7,NL9709106291327,credit,EUR,-3637.11,active,2025-03-02T13:00:22
19,7,NL1483258063113,checking,EUR,3491.47,frozen,2022-07-30T11:52:44
20,8,GB3444135038390,checking,GBP,1038.7,frozen,2023-10-07T18:01:45
21,8,GB5627185158307,checking,GBP,3900.77,active,2025-10-02T23:16:19
22,8,GB4329024726535,checking,GBP,1325.12,active,2025-04-13T14:39:06
23,9,PL7900967318353,checking,PLN,3643.03,closed,2022-07-24T02:36:40
24,10,US7112851919871,checking,USD,851.77,frozen,2025-07-13T14:18:59
25,10,US6712819416682,savings,USD,28179.53,active,2026-03-12T10:21:27
26,11,US7501242517002,checking,USD,6979.54,active,2026-05-13T19:07:10
27,11,US9750539076398,checking,USD,5192.96,active,2026-05-08T06:04:08
28,12,GB3195013647486,savings,GBP,39747.64,closed,2025-02-21T12:09:29
29,13,US2592000222445,checking,USD,28.34,active,2023-10-23T01:53:17
30,14,DE7718713539500,checking,EUR,4113.91,active,2026-03-21T06:34:21
31,15,JP9074223720655,savings,JPY,612195.12,active,2025-11-08T13:37:18
32,15,JP1291787953034,savings,JPY,883023.33,closed,2025-12-21T08:39:54
33,16,FR4178456390188,checking,EUR,7530.98,closed,2023-09-17T03:12:29
34,16,FR1762160671003,savings,EUR,5069.24,active,2025-04-23T14:04:42
35,16,FR9517224213700,checking,EUR,5434.38,active,2023-11-08T19:30:19
36,17,US9702435919796,savings,USD,25249.9,active,2026-04-27T08:42:23
37,17,US8930661017713,credit,USD,-3817.83,active,2026-04-12T08:32:25
38,17,US1078405683406,checking,USD,1180.7,active,2026-05-04T12:06:32
39,18,TR8719710234531,checking,TRY,215292.07,active,2025-07-25T12:46:09
40,18,TR2499118662795,savings,TRY,107532.46,frozen,2025-03-21T04:09:18
41,19,DE9360446323693,savings,EUR,17764.47,closed,2024-05-18T00:56:51
42,20,AT7976546918104,savings,EUR,14088.13,frozen,2025-12-13T15:57:35
43,21,NO1120226988988,checking,NOK,5104.55,active,2025-08-12T13:52:17
44,21,NO6763991820473,savings,NOK,37155.11,closed,2024-12-21T00:06:59
45,21,NO2934952617354,checking,NOK,6097.51,active,2025-09-11T13:57:59
46,22,IT2457791737175,checking,EUR,199.36,frozen,2026-03-18T02:50:03
47,23,US1485247939438,credit,USD,-4774.71,closed,2025-11-17T06:57:33
48,23,US5107445898155,checking,USD,7848.7,frozen,2025-09-21T04:13:26
49,23,US7747008912387,savings,USD,17969.93,frozen,2025-10-25T16:02:06
50,23,US5759765297154,checking,USD,357.81,active,2025-01-29T16:28:56
51,24,MX4401249637800,checking,MXN,131691.31,closed,2023-08-23T10:47:01
52,24,MX9630997786182,savings,MXN,305653.12,frozen,2025-07-10T15:30:18
53,25,CA5819167570167,checking,CAD,4189.66,active,2022-07-24T15:44:02
54,25,CA3676306242163,checking,CAD,6768.42,active,2024-10-08T12:44:21
55,26,GB9345032533234,savings,GBP,24201.76,closed,2026-04-19T21:09:18
56,26,GB1476461519751,savings,GBP,86.94,closed,2026-05-02T20:25:33
57,27,IE8011730188639,savings,EUR,36569.25,active,2025-06-25T19:36:27
58,27,IE4700177680079,checking,EUR,5456.31,frozen,2025-06-30T00:37:02
59,27,IE8759829560835,checking,EUR,2224.03,closed,2026-01-06T00:37:28
60,28,SG7029160980253,checking,SGD,2601.34,active,2025-01-08T15:32:22
61,29,DE8084862188886,credit,EUR,-1678,active,2026-04-26T00:22:46
62,30,IT8563459482430,savings,EUR,16164.98,active,2025-02-01T20:20:56
63,30,IT8435382297976,credit,EUR,-2463.3,active,2025-08-19T00:17:34
64,31,FR6296660294896,savings,EUR,15.88,active,2025-03-26T22:44:13
65,31,FR7219038580356,credit,EUR,-1037.86,active,2024-07-14T03:59:08
66,32,NL6676265127948,checking,EUR,7588.05,closed,2023-06-16T13:57:02
67,33,DE3519589570653,checking,EUR,7896.2,frozen,2026-03-30T06:38:24
68,33,DE3248591267854,credit,EUR,-3743.71,active,2026-04-10T19:04:46
69,33,DE7647493685541,checking,EUR,6236.49,active,2026-03-23T09:37:41
70,34,FR8713606228820,credit,EUR,-3989.59,frozen,2026-04-18T18:40:59
71,34,FR6928184340032,checking,EUR,4037.27,active,2026-02-18T06:53:28
