id,account_id,card_number,card_type,brand,expires_at,status,issued_at
1,1,5057********4192-5274,debit,Mastercard,2030-01,active,2026-01-30T05:31:12
2,2,5589********4909-6693,debit,Mastercard,2030-04,active,2026-04-11T14:18:28
3,5,4475********8745-6248,debit,Visa,2031-03,blocked,2026-03-16T16:26:37
4,6,4555********8636-7778,debit,Visa,2029-05,blocked,2026-05-11T20:20:19
5,9,4898********6372-8351,debit,Visa,2030-05,active,2026-05-04T08:18:08
6,9,5066********0429-6439,debit,Mastercard,2029-05,active,2026-05-04T06:22:40
7,10,4153********4989-5787,debit,Visa,2029-04,active,2026-04-05T18:39:47
8,11,5822********0794-9421,credit,Mastercard,2031-05,active,2026-05-09T06:55:40
9,13,5868********0509-4770,debit,Mastercard,2029-05,active,2026-05-06T21:35:28
10,14,5683********7665-6050,debit,Mastercard,2029-03,active,2026-03-30T16:31:35
11,16,3537*******7844-7593,debit,Amex,2030-02,blocked,2026-02-11T09:35:59
12,16,5505********3289-8447,debit,Mastercard,2027-07,blocked,2024-07-09T20:13:05
13,18,4274********7576-7629,credit,Visa,2029-04,active,2026-04-26T23:47:04
14,19,4865********8159-9236,debit,Visa,2029-03,active,2026-03-18T13:32:23
15,20,4426********3194-7880,debit,Visa,2029-07,active,2024-07-31T13:26:49
16,21,4175********5521-3960,debit,Visa,2031-01,blocked,2026-01-07T09:18:08
17,22,4554********5524-4177,debit,Visa,2028-08,blocked,2025-08-20T15:12:06
18,23,5234********6272-8131,debit,Mastercard,2026-08,blocked,2023-08-24T05:24:07
19,24,3693*******7165-5488,debit,Amex,2028-08,active,2025-08-27T11:52:15
20,26,5218********2727-3174,debit,Mastercard,2031-05,expired,2026-05-15T21:16:55
21,27,4268********6070-7730,debit,Visa,2029-05,active,2026-05-15T12:57:23
22,29,4940********3482-4630,debit,Visa,2028-10,blocked,2024-10-13T12:08:04
23,29,4926********7493-3936,debit,Visa,2029-11,blocked,2025-11-24T23:17:12
24,30,3139*******3883-3095,debit,Amex,2029-05,active,2026-05-10T01:43:15
25,32,4587********3712-6541,debit,Visa,2029-03,blocked,2026-03-27T13:48:39
26,33,5955********7337-2367,debit,Mastercard,2030-08,blocked,2025-08-24T01:21:33
27,34,5646********4169-1982,debit,Mastercard,2030-06,expired,2025-06-07T06:53:25
28,35,4429********3570-6193,debit,Visa,2030-09,expired,2025-09-21T09:22:12
29,37,5834********6770-6264,credit,Mastercard,2030-04,active,2026-04-14T14:01:54
30,38,4301********9067-2112,debit,Visa,2030-05,blocked,2026-05-11T13:16:12
31,39,5692********3978-1118,debit,Mastercard,2029-02,active,2026-02-27T04:04:52
32,40,5544********2812-2280,debit,Mastercard,2029-05,active,2025-05-15T06:48:14
33,41,4105********5037-8831,debit,Visa,2028-07,blocked,2024-07-02T16:30:43
34,43,4488********3259-5051,debit,Visa,2031-01,active,2026-01-05T11:32:54
35,45,5952********4248-6670,debit,Mastercard,2029-05,blocked,2026-05-10T06:04:36
36,45,5166********3566-5503,debit,Mastercard,2030-09,active,2025-09-28T11:57:45
37,46,5587********5098-5767,debit,Mastercard,2031-04,expired,2026-04-23T11:40:08
38,47,4711********4632-8703,credit,Visa,2031-05,blocked,2026-05-14T17:01:30
39,48,5788********1222-6827,debit,Mastercard,2028-11,active,2025-11-07T20:38:24
40,48,5531********6906-5437,debit,Mastercard,2029-02,expired,2026-02-27T10:30:47
41,50,4969********0698-9124,debit,Visa,2028-07,active,2025-07-27T03:36:37
42,51,4075********5390-572,debit,Visa,2029-08,blocked,2024-08-03T08:03:51
43,52,5335********0277-5322,debit,Mastercard,2029-03,active,2026-03-29T07:42:47
44,53,6745********8654-5792,debit,Discover,2028-03,expired,2025-03-14T10:46:40
45,54,5587********6164-894,debit,Mastercard,2031-01,active,2026-01-07T12:07:00
46,56,5634********6666-2789,debit,Mastercard,2031-05,blocked,2026-05-04T22:33:17
47,58,4333********9580-1244,debit,Visa,2029-01,active,2026-01-04T19:35:07
48,59,4044********0834-5868,debit,Visa,2030-05,blocked,2026-05-02T04:56:31
49,60,4834********4310-689,debit,Visa,2030-03,expired,2026-03-21T10:30:48
50,61,5586********8563-4710,credit,Mastercard,2031-04,active,2026-04-26T18:03:10
51,63,5918********0700-1028,credit,Mastercard,2029-01,active,2026-01-29T23:22:27
52,65,5125********4569-1545,credit,Mastercard,2028-11,expired,2024-11-05T08:09:35
53,66,4920********6290-6358,debit,Visa,2031-04,blocked,2026-04-06T01:16:01
54,67,4658********0578-7141,debit,Visa,2031-04,expired,2026-04-28T15:19:29
55,68,5405********2999-3793,credit,Mastercard,2031-05,active,2026-05-15T17:07:42
56,69,5827********0876-7085,debit,Mastercard,2031-04,active,2026-04-21T01:22:00
57,70,5769********4422-279,credit,Mastercard,2031-04,active,2026-04-23T17:14:52
58,71,4276********4834-5414,debit,Visa,2029-03,active,2026-03-11T08:19:42
59,72,4334********0436-3859,debit,Visa,2031-04,active,2026-04-02T16:47:57
60,73,4060********8878-3727,debit,Visa,2029-10,blocked,2024-10-14T03:50:55
61,74,6296********0566-7443,debit,Discover,2031-01,active,2026-01-21T10:57:09
62,75,6612********4493-5825,debit,Discover,2030-04,blocked,2026-04-25T16:34:02
63,76,4463********7670-4741,debit,Visa,2029-02,expired,2026-02-25T20:43:02
64,77,4810********0952-4594,debit,Visa,2031-04,active,2026-04-24T04:54:49
65,77,4844********4894-5751,debit,Visa,2030-04,active,2026-04-05T08:31:24
66,80,5227********4687-5808,debit,Mastercard,2028-02,blocked,2025-02-23T10:18:40
67,81,4555********9444-1022,debit,Visa,2030-03,blocked,2026-03-20T04:27:43
68,81,6155********8875-6786,debit,Discover,2030-05,active,2026-05-11T17:00:28
69,83,5587********6462-3513,debit,Mastercard,2031-05,blocked,2026-05-15T01:45:52
70,85,4306********8493-2067,debit,Visa,2031-03,active,2026-03-16T12:15:27
71,86,5572********7993-472,debit,Mastercard,2030-03,active,2026-03-11T01:17:57
72,87,4238********4948-3023,debit,Visa,2028-06,blocked,2025-06-22T06:12:07
73,88,5600********0794-450,debit,Mastercard,2029-04,blocked,2026-04-14T07:15:34
74,90,4873********4448-7567,debit,Visa,2030-01,blocked,2025-01-13T10:57:26
75,92,5543********1513-6092,debit,Mastercard,2030-03,blocked,2026-03-19T12:22:43
76,93,4622********8003-1000,debit,Visa,2030-11,blocked,2025-11-20T11:52:18
77,94,5942********6891-8590,debit,Mastercard,2028-12,expired,2023-12-12T18:53:31
78,97,5888********3177-6103,debit,Mastercard,2031-05,active,2026-05-05T05:53:57
79,98,5255********6617-1085,debit,Mastercard,2030-02,blocked,2026-02-06T22:10:42
80,99,5270********5943-3001,debit,Mastercard,2029-04,blocked,2026-04-11T20:52:09
81,100,4908********5719-1963,debit,Visa,2028-03,blocked,2025-03-10T03:12:08
82,101,5193********0590-3095,credit,Mastercard,2029-08,blocked,2024-08-24T06:25:57
83,102,3086*******6823-1121,credit,Amex,2029-09,blocked,2025-09-25T14:32:55
84,103,4503********8191-7353,debit,Visa,2029-06,active,2024-06-24T09:40:43
85,105,5609********3638-3969,debit,Mastercard,2028-05,active,2024-05-29T06:48:28
86,106,5649********1586-1467,credit,Mastercard,2027-11,active,2024-11-19T04:17:13
87,107,4409********1769-712,debit,Visa,2028-09,expired,2025-09-17T15:18:11
88,109,3870*******4398-8463,debit,Amex,2028-07,blocked,2025-07-07T03:09:46
89,109,4181********5827-4827,debit,Visa,2028-12,blocked,2025-12-21T14:32:08
90,111,5842********0078-7496,credit,Mastercard,2030-05,blocked,2026-05-05T00:27:14
91,112,4862********1586-4107,debit,Visa,2029-11,blocked,2024-11-28T22:42:30
92,114,5682********5070-796,debit,Mastercard,2028-03,expired,2025-03-24T01:22:10
93,115,4217********4540-8184,debit,Visa,2029-01,active,2025-01-18T08:37:17
94,117,3753*******5101-2747,debit,Amex,2029-04,blocked,2026-04-30T20:44:35
95,118,3553*******1005-8407,debit,Amex,2029-12,active,2025-12-11T19:57:18
96,120,5923********4624-4863,debit,Mastercard,2030-03,expired,2026-03-30T21:43:12
97,121,5591********8200-2544,debit,Mastercard,2030-05,active,2026-05-15T08:23:17
98,121,4347********1990-2258,debit,Visa,2031-05,expired,2026-05-16T11:09:44
99,122,4358********4477-5688,debit,Visa,2027-11,active,2024-11-17T12:13:22
100,123,5820********7041-6556,debit,Mastercard,2028-05,active,2024-05-05T06:44:31
101,125,5128********9903-8466,debit,Mastercard,2029-09,blocked,2025-09-26T06:27:40
102,126,4918********7521-9306,debit,Visa,2030-05,active,2026-05-02T05:35:09
103,126,5311********2989-2041,debit,Mastercard,2030-04,active,2026-04-27T05:24:28
104,127,4577********5719-2330,debit,Visa,2028-03,blocked,2025-03-12T16:43:40
105,127,5207********9423-1883,debit,Mastercard,2028-06,active,2024-06-16T11:20:52
106,128,4264********0432-8110,debit,Visa,2029-03,expired,2026-03-22T08:28:43
107,128,3925*******6697-5144,debit,Amex,2029-05,active,2026-05-16T10:28:33
108,129,6523********6096-904,debit,Discover,2029-05,active,2026-05-15T14:06:45
109,130,5388********7651-2628,credit,Mastercard,2030-04,active,2026-04-17T16:56:57
110,131,5713********1217-9718,debit,Mastercard,2030-05,blocked,2026-05-11T20:45:59
111,132,3199*******3128-4728,debit,Amex,2030-05,expired,2026-05-16T11:18:39
112,133,4565********4754-6497,debit,Visa,2031-03,active,2026-03-03T19:21:15
113,134,5503********7485-9389,debit,Mastercard,2028-03,active,2025-03-18T08:07:30
114,135,5241********3249-8933,debit,Mastercard,2029-03,blocked,2026-03-03T13:13:13
115,139,4095********3720-2999,debit,Visa,2029-03,active,2026-03-12T00:10:29
116,140,4051********0232-1840,credit,Visa,2031-04,active,2026-04-27T23:04:47
117,141,3800*******7647-3141,debit,Amex,2029-04,active,2026-04-27T12:14:10
118,141,5862********2973-8574,debit,Mastercard,2029-03,active,2026-03-30T08:22:35
119,142,5791********6340-2083,debit,Mastercard,2031-03,blocked,2026-03-05T16:35:41
120,143,4534********9855-4825,debit,Visa,2027-06,expired,2024-06-16T21:16:02
121,144,5888********7872-4735,debit,Mastercard,2029-03,active,2026-03-04T20:37:13
122,145,4594********9678-3964,debit,Visa,2029-02,active,2026-02-22T06:00:52
123,146,4149********9111-9,debit,Visa,2031-02,active,2026-02-18T18:35:37
124,147,3370*******8087-3146,debit,Amex,2031-03,expired,2026-03-31T23:45:29
125,148,4407********5883-6163,credit,Visa,2030-05,blocked,2026-05-02T13:38:15
126,149,3435*******2188-2250,debit,Amex,2030-10,blocked,2025-10-09T21:11:23
127,150,5767********5068-1130,debit,Mastercard,2029-05,active,2026-05-15T06:31:34
128,151,5743********9215-1461,credit,Mastercard,2029-10,active,2025-10-09T22:35:46
129,152,5449********7045-9625,debit,Mastercard,2029-03,blocked,2026-03-17T16:43:30
130,153,5658********0121-3028,debit,Mastercard,2029-12,active,2025-12-06T03:38:13
131,156,3245*******8335-1922,debit,Amex,2031-05,active,2026-05-06T13:23:37
132,157,3395*******1374-8990,debit,Amex,2030-05,active,2026-05-09T12:16:39
133,158,4225********4384-1516,debit,Visa,2031-04,active,2026-04-13T03:00:59
134,159,5003********1696-7941,debit,Mastercard,2030-05,active,2026-05-07T10:22:17
135,161,5065********6232-9382,debit,Mastercard,2031-05,blocked,2026-05-12T23:18:35
136,163,4393********8372-7967,debit,Visa,2029-03,expired,2026-03-20T12:15:23
137,165,4717********7022-8824,debit,Visa,2030-04,blocked,2026-04-13T17:03:58
138,165,6574********6287-4022,debit,Discover,2031-01,active,2026-01-28T22:12:52
139,166,5017********5121-6939,debit,Mastercard,2030-02,blocked,2025-02-16T17:18:56
140,167,4099********6801-7580,debit,Visa,2025-11,blocked,2022-11-27T06:16:29
141,168,5297********5225-1189,debit,Mastercard,2031-04,active,2026-04-11T16:59:43
142,169,4966********0062-113,debit,Visa,2029-04,blocked,2025-04-23T14:09:54
143,170,5734********9407-7149,debit,Mastercard,2029-04,blocked,2025-04-06T12:40:04
144,171,5307********7348-402,debit,Mastercard,2030-05,active,2026-05-03T13:54:01
145,172,4723********0617-9181,debit,Visa,2031-01,expired,2026-01-15T18:09:58
146,173,5928********8685-6918,debit,Mastercard,2029-09,active,2025-09-22T10:05:51
147,174,4191********9791-1838,debit,Visa,2031-02,active,2026-02-25T21:59:07
148,175,4633********0186-4303,credit,Visa,2028-09,active,2025-09-03T15:11:53
149,176,4021********9208-3709,debit,Visa,2028-12,blocked,2025-12-25T09:15:18
150,179,4655********5824-5240,debit,Visa,2030-01,active,2026-01-14T04:15:53
151,180,6951********6719-2469,credit,Discover,2030-04,expired,2025-04-04T15:45:44
152,182,5358********3652-6987,debit,Mastercard,2029-03,active,2026-03-31T03:19:27
153,183,4872********1688-7603,debit,Visa,2028-02,active,2025-02-09T15:40:36
154,184,6572********6428-8316,debit,Discover,2029-05,active,2026-05-15T03:12:01
155,186,4046********6755-3898,debit,Visa,2031-04,active,2026-04-19T02:30:46
156,186,5077********1407-8143,debit,Mastercard,2029-05,blocked,2026-05-04T08:34:43
157,187,4005********0584-9108,debit,Visa,2031-03,expired,2026-03-10T22:56:44
158,187,4752********9123-5186,debit,Visa,2030-10,active,2025-10-23T18:53:11
159,188,5766********5799-1935,debit,Mastercard,2031-05,active,2026-05-12T14:41:50
160,190,3037*******7959-7532,debit,Amex,2028-09,expired,2025-09-20T00:54:49
161,191,5335********4425-1321,credit,Mastercard,2029-01,active,2026-01-21T15:34:32
162,193,4091********7294-8918,debit,Visa,2029-02,active,2026-02-14T06:09:42
163,194,4075********5270-9140,debit,Visa,2030-04,active,2025-04-13T14:35:11
164,195,5589********3182-3709,debit,Mastercard,2028-01,blocked,2025-01-25T05:13:11
165,196,4332********9635-3338,debit,Visa,2028-09,active,2025-09-13T09:11:48
166,197,5790********0892-1570,debit,Mastercard,2029-01,expired,2026-01-20T15:55:03
167,198,4933********4987-8358,debit,Visa,2030-10,blocked,2025-10-27T00:31:28
168,199,4469********9050-9324,debit,Visa,2026-01,expired,2022-01-19T21:46:09
169,200,4727********5358-4564,debit,Visa,2028-01,active,2024-01-26T07:46:59
170,200,4375********9234-5158,debit,Visa,2030-11,expired,2025-11-29T21:06:08
171,201,4602********6858-1807,debit,Visa,2028-04,blocked,2025-04-20T02:12:18
172,203,4764********0287-1002,credit,Visa,2031-04,active,2026-04-29T16:35:26
173,204,4390********0043-9845,debit,Visa,2029-05,active,2026-05-06T08:15:17
174,205,5940********3637-2815,debit,Mastercard,2029-05,active,2026-05-16T06:24:46
175,207,5039********0562-6013,debit,Mastercard,2029-04,blocked,2026-04-04T00:06:24
176,208,5259********0389-9021,debit,Mastercard,2029-03,active,2026-03-27T12:22:24
177,208,5426********9050-6491,debit,Mastercard,2029-03,active,2026-03-31T05:20:44
178,210,5676********7808-149,debit,Mastercard,2031-01,active,2026-01-26T10:25:20
179,210,4168********6695-3922,debit,Visa,2028-11,blocked,2025-11-12T10:49:28
180,211,4531********5363-8095,debit,Visa,2031-04,active,2026-04-12T10:49:36
181,212,3387*******3841-7604,debit,Amex,2028-03,active,2025-03-08T13:46:22
182,214,4842********0671-5760,debit,Visa,2029-03,blocked,2025-03-01T21:30:57
183,214,5958********2157-6485,debit,Mastercard,2030-02,active,2026-02-17T16:46:48
184,215,4625********3656-9265,debit,Visa,2030-05,active,2026-05-01T22:17:49
185,216,3533*******4931-92,debit,Amex,2029-04,active,2026-04-27T17:48:54
186,217,5491********9746-282,debit,Mastercard,2031-02,expired,2026-02-12T00:55:22
187,219,4080********0360-7095,debit,Visa,2029-02,active,2026-02-14T12:09:27
188,219,3431*******2235-2151,debit,Amex,2029-03,expired,2026-03-21T20:34:00
189,220,5799********9641-9942,debit,Mastercard,2029-08,expired,2024-08-30T20:13:41
190,221,5295********5923-7943,debit,Mastercard,2030-02,active,2026-02-15T00:26:10
191,222,4179********6755-6659,debit,Visa,2026-12,active,2023-12-19T19:45:20
192,223,5741********9750-6503,debit,Mastercard,2030-11,active,2025-11-04T07:46:31
193,225,4645********3415-5296,debit,Visa,2029-05,blocked,2026-05-06T22:24:10
194,229,5597********1877-2398,debit,Mastercard,2030-03,expired,2026-03-31T08:02:08
195,230,5389********1154-1688,debit,Mastercard,2028-10,active,2025-10-20T05:35:59
196,231,5159********8567-9704,credit,Mastercard,2027-05,expired,2023-05-02T02:47:02
197,233,5922********5400-9698,debit,Mastercard,2029-01,active,2026-01-20T19:55:47
198,233,5157********5703-7596,debit,Mastercard,2029-12,active,2025-12-26T13:47:50
199,235,5609********9025-7741,debit,Mastercard,2029-05,blocked,2025-05-11T20:02:42
200,236,6184********0157-1485,debit,Discover,2029-03,expired,2026-03-21T05:38:02
201,236,5899********8749-648,debit,Mastercard,2031-04,blocked,2026-04-06T07:34:15
202,237,4262********2420-2062,debit,Visa,2031-02,active,2026-02-25T17:15:05
203,239,5829********2030-4514,debit,Mastercard,2028-10,expired,2025-10-19T10:01:12
204,240,5328********0205-3684,credit,Mastercard,2029-01,active,2026-01-30T02:05:25
205,241,5277********9027-7339,debit,Mastercard,2030-08,active,2025-08-09T15:29:17
206,242,4043********7179-6402,debit,Visa,2030-03,blocked,2026-03-07T01:06:21
207,243,4477********7722-8956,debit,Visa,2029-04,expired,2026-04-09T16:32:59
208,244,4828********6191-123,credit,Visa,2030-03,active,2026-03-19T11:05:18
209,245,3288*******8642-167,debit,Amex,2031-05,active,2026-05-11T10:08:43
210,246,5417********7352-3062,debit,Mastercard,2029-12,active,2025-12-01T08:21:14
211,246,5900********3787-1475,debit,Mastercard,2028-08,blocked,2025-08-02T13:06:29
212,247,4695********9191-2207,debit,Visa,2029-05,active,2026-05-10T02:14:58
213,248,4078********3500-6862,debit,Visa,2030-04,blocked,2025-04-26T11:53:49
214,249,4858********9863-9873,debit,Visa,2029-07,active,2025-07-18T09:47:15
215,250,5737********2984-8538,credit,Mastercard,2031-04,active,2026-04-11T09:00:41
216,252,4270********4660-8331,debit,Visa,2025-06,expired,2022-06-10T16:18:32
217,253,5384********7577-1961,debit,Mastercard,2029-12,active,2025-12-17T14:53:24
218,254,5754********8647-8036,debit,Mastercard,2030-03,active,2025-03-05T00:42:36
219,255,4456********4614-2152,debit,Visa,2029-01,active,2025-01-22T22:23:25
220,256,5949********3108-4489,debit,Mastercard,2030-12,blocked,2025-12-10T09:07:33
221,258,4198********1755-9624,debit,Visa,2027-03,active,2024-03-01T19:33:35
222,260,4145********5599-1470,credit,Visa,2029-11,expired,2025-11-22T21:55:56
223,261,5590********3029-9958,debit,Mastercard,2029-11,active,2024-11-05T08:59:37
224,261,5819********3008-9888,debit,Mastercard,2029-07,active,2025-07-07T21:31:55
225,262,4273********0179-1005,debit,Visa,2029-01,active,2026-01-23T23:29:35
226,263,4364********0741-4455,debit,Visa,2031-04,blocked,2026-04-26T09:24:01
227,264,4906********2785-347,debit,Visa,2029-05,blocked,2026-05-15T17:06:44
228,265,4615********9465-9181,debit,Visa,2029-10,blocked,2024-10-11T11:44:59
229,265,4952********0908-3849,debit,Visa,2029-10,blocked,2025-10-14T01:44:58
230,267,5285********6821-6010,debit,Mastercard,2029-12,active,2024-12-10T05:41:53
231,268,4486********8744-7441,credit,Visa,2030-03,blocked,2026-03-31T01:59:02
232,269,4231********5914-9070,debit,Visa,2029-04,expired,2026-04-13T23:01:35
233,271,3500*******4609-7553,debit,Amex,2031-02,active,2026-02-23T05:17:04
234,272,5180********9208-5339,debit,Mastercard,2029-01,active,2026-01-04T03:14:51
235,273,5245********6289-228,debit,Mastercard,2029-04,active,2026-04-21T17:42:42
236,275,5294********1566-6946,debit,Mastercard,2028-09,active,2025-09-25T02:51:32
237,276,4592********1034-5068,credit,Visa,2029-12,blocked,2025-12-31T01:44:26
238,277,4941********8840-6629,debit,Visa,2031-04,blocked,2026-04-28T11:31:30
239,278,5136********0560-3769,debit,Mastercard,2030-05,active,2026-05-05T23:31:29
240,279,5402********4104-908,credit,Mastercard,2031-05,active,2026-05-01T04:13:39
241,280,4716********3286-7198,debit,Visa,2031-03,blocked,2026-03-24T15:26:26
242,283,6049********9801-6721,debit,Discover,2029-05,active,2026-05-15T07:31:15
243,284,5882********1955-6718,debit,Mastercard,2030-05,active,2026-05-08T01:33:09
244,285,5455********5680-7202,debit,Mastercard,2029-03,expired,2025-03-14T20:03:08
245,287,5276********5581-8025,debit,Mastercard,2030-02,blocked,2026-02-05T18:40:59
246,289,4447********4347-7734,debit,Visa,2030-10,active,2025-10-07T12:51:52
247,289,4222********0919-7853,debit,Visa,2031-01,active,2026-01-27T01:23:04
248,290,4239********5917-8322,debit,Visa,2030-05,active,2026-05-02T18:13:19
249,291,4115********0535-6113,credit,Visa,2029-01,active,2026-01-08T20:58:06
250,292,5972********5782-302,debit,Mastercard,2029-12,expired,2024-12-11T08:35:29
251,293,4180********5836-8098,debit,Visa,2031-05,active,2026-05-08T03:17:26
252,295,5160********6400-6677,debit,Mastercard,2028-09,active,2024-09-17T21:16:01
