customer_first_name,supplier_name,quantity,product_name,customer_email,product_id,line_total,unit_price,customer_last_name,supplier_country,customer_region_head,product_category,customer_phone,order_id,customer_loyalty_tier,customer_country,payment_method,category_tax_rate,order_status,order_date,customer_region,customer_id,customer_city
Тарас,Партнер-Eco ТОВ,5,StarWorks Посуд Pro24,client2715@example.com,2962,171153.9,34230.78,Руденко,Україна,Новак П. Я.,Посуд,+380513300101,1,Bronze,Польща,Готівка,0.2,Відправлено,2023-04-14,Центральна Європа,2715,Варшава
Тарас,Меркурій-Ultra ТОВ #35,2,SolarMark Канцтовари Air78,client2715@example.com,3590,107.68,53.84,Руденко,Польща,Новак П. Я.,Канцтовари,+380513300101,1,Bronze,Польща,Готівка,0.2,Відправлено,2023-04-14,Центральна Європа,2715,Варшава
Тарас,Опт-Max ТОВ,3,PrimeCore Фотоапарати S40,client2715@example.com,1945,67815.0,22605.0,Руденко,Туреччина,Новак П. Я.,Фотоапарати,+380513300101,1,Bronze,Польща,Готівка,0.2,Відправлено,2023-04-14,Центральна Європа,2715,Варшава
Назар,Захід-Solar ТОВ,7,EcoLab Фотоапарати Max58,client2466@example.com,804,199860.92,28551.56,Мороз,Південна Корея,Новак П. Я.,Фотоапарати,+380506733098,2,Gold,Чехія,Картка,0.2,Повернено,2025-03-14,Центральна Європа,2466,Прага
Назар,Імпорт-Zen ТОВ,2,EcoSoft Пральні машини Air62,client2466@example.com,3256,64341.38,32170.69,Мороз,Польща,Новак П. Я.,Пральні машини,+380506733098,2,Gold,Чехія,Картка,0.2,Повернено,2025-03-14,Центральна Європа,2466,Прага
Назар,Трейд-Neo ТОВ #67,2,GrandTrade Іграшки Pro15,client2466@example.com,1094,28262.94,14131.47,Мороз,Китай,Новак П. Я.,Іграшки,+380506733098,2,Gold,Чехія,Картка,0.2,Повернено,2025-03-14,Центральна Європа,2466,Прага
Дмитро,Опт-Prime ТОВ #45,3,GrandLine Канцтовари Lite42,client9733@example.com,1873,40292.61,13430.87,Марченко,Південна Корея,Новак П. Я.,Канцтовари,+380634013040,3,Gold,Чехія,Apple Pay,0.2,Повернено,2025-03-24,Центральна Європа,9733,Прага
Дмитро,Трейд-Apex ТОВ,8,UltraSystems Смартфони X50,client9733@example.com,3696,144519.04,18064.88,Марченко,Україна,Новак П. Я.,Смартфони,+380634013040,3,Gold,Чехія,Apple Pay,0.2,Повернено,2025-03-24,Центральна Європа,9733,Прага
Дмитро,Трейд-Neo ТОВ,4,GrandBrands Іграшки Air35,client9733@example.com,3693,102212.96,25553.24,Марченко,Туреччина,Новак П. Я.,Іграшки,+380634013040,3,Gold,Чехія,Apple Pay,0.2,Повернено,2025-03-24,Центральна Європа,9733,Прага
Дмитро,Опт-Prime ТОВ #45,6,VitaLab Смартфони X59,client9733@example.com,1348,235085.04,39180.84,Марченко,Південна Корея,Новак П. Я.,Смартфони,+380634013040,3,Gold,Чехія,Apple Pay,0.2,Повернено,2025-03-24,Центральна Європа,9733,Прага
Дмитро,Меркурій-Grand ТОВ,7,NeoOne Телевізори Air82,client9733@example.com,2288,261632.0,37376.0,Марченко,Україна,Новак П. Я.,Телевізори,+380634013040,3,Gold,Чехія,Apple Pay,0.2,Повернено,2025-03-24,Центральна Європа,9733,Прага
